timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_recv,duration_ms,flags
2025-10-15 08:00:48,192.168.1.105,93.184.216.34,44572,80,TCP,456,2987,290,PSH-ACK
2025-10-15 08:00:50,192.168.1.200,45.33.32.156,60006,445,TCP,6789012,567,24000,PSH-ACK
2025-10-15 08:00:52,203.0.113.100,192.168.1.30,12345,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:53,203.0.113.100,192.168.1.30,12346,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:54,203.0.113.100,192.168.1.30,12347,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:55,203.0.113.100,192.168.1.30,12348,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:56,203.0.113.100,192.168.1.30,12349,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:57,203.0.113.100,192.168.1.30,12350,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:58,203.0.113.100,192.168.1.30,12351,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:00:59,203.0.113.100,192.168.1.30,12352,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:01:00,203.0.113.100,192.168.1.30,12353,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:01:01,203.0.113.100,192.168.1.30,12354,80,TCP,234,567,120,PSH-ACK
2025-10-15 08:01:02,192.168.1.100,203.0.113.45,54327,443,TCP,1234,8765,440,PSH-ACK
2025-10-15 08:01:04,192.168.1.105,203.0.113.67,44573,80,TCP,678,3987,340,PSH-ACK
2025-10-15 08:01:06,192.168.1.200,192.168.1.10,60007,80,TCP,456,2345,260,PSH-ACK
2025-10-15 08:01:08,192.168.1.100,8.8.8.8,55125,53,UDP,75,119,48,None
2025-10-15 08:01:10,192.168.1.105,93.184.216.34,44574,80,TCP,567,3123,300,PSH-ACK
2025-10-15 08:01:12,192.168.1.100,203.0.113.45,54328,443,TCP,1456,10234,460,PSH-ACK
2025-10-15 08:01:15,192.168.1.200,192.168.1.10,60008,80,TCP,567,2876,280,PSH-ACK
2025-10-15 08:01:18,192.168.1.105,203.0.113.67,44575,80,TCP,789,4321,370,PSH-ACK
2025-10-15 08:01:20,198.51.100.77,192.168.1.40,23456,22,TCP,145,0,90,SYN
2025-10-15 08:01:22,198.51.100.77,192.168.1.40,23457,22,TCP,145,0,90,SYN
2025-10-15 08:01:24,192.168.1.100,203.0.113.45,54329,443,TCP,1123,8934,420,PSH-ACK
2025-10-15 08:01:26,198.51.100.77,192.168.1.40,23458,22,TCP,145,0,90,SYN
2025-10-15 08:01:28,198.51.100.77,192.168.1.40,23459,22,TCP,145,0,90,SYN
2025-10-15 08:01:30,192.168.1.105,93.184.216.34,44576,80,TCP,456,2765,280,PSH-ACK
2025-10-15 08:01:32,198.51.100.77,192.168.1.40,23460,22,TCP,145,0,90,SYN
2025-10-15 08:01:34,198.51.100.77,192.168.1.40,23461,22,TCP,145,0,90,SYN
2025-10-15 08:01:36,192.168.1.200,192.168.1.10,60009,80,TCP,678,3456,320,PSH-ACK
2025-10-15 08:01:38,198.51.100.77,192.168.1.40,23462,22,TCP,145,0,90,SYN
2025-10-15 08:01:40,198.51.100.77,192.168.1.40,23463,22,TCP,145,0,90,SYN
2025-10-15 08:01:42,192.168.1.100,203.0.113.45,54330,443,TCP,1345,9567,450,PSH-ACK
2025-10-15 08:01:44,198.51.100.77,192.168.1.40,23464,22,TCP,145,0,90,SYN
2025-10-15 08:01:46,198.51.100.77,192.168.1.40,23465,22,TCP,145,245,140,PSH-ACK
2025-10-15 08:01:48,192.168.1.105,203.0.113.67,44577,80,TCP,567,3234,310,PSH-ACK
2025-10-15 08:01:50,192.168.1.100,8.8.8.8,55126,53,UDP,79,123,51,None
2025-10-15 08:01:52,192.168.1.110,203.0.113.89,54400,443,TCP,1456,9876,470,PSH-ACK
2025-10-15 08:01:54,192.168.1.110,203.0.113.89,54401,443,TCP,987,11234,420,PSH-ACK
2025-10-15 08:01:56,192.168.1.105,93.184.216.34,44578,80,TCP,678,3654,330,PSH-ACK
2025-10-15 08:01:58,192.168.1.200,192.168.1.10,60010,80,TCP,789,4123,350,PSH-ACK
2025-10-15 08:02:00,192.168.1.100,203.0.113.45,54331,443,TCP,1678,12345,490,PSH-ACK
2025-10-15 08:02:02,172.16.5.25,192.168.1.60,44500,21,TCP,123,0,95,SYN
2025-10-15 08:02:03,172.16.5.25,192.168.1.60,44501,22,TCP,123,0,95,SYN
2025-10-15 08:02:04,172.16.5.25,192.168.1.60,44502,23,TCP,123,0,95,SYN
2025-10-15 08:02:05,192.168.1.110,8.8.8.8,55200,53,UDP,81,127,52,None
2025-10-15 08:02:06,172.16.5.25,192.168.1.60,44503,25,TCP,123,0,95,SYN
2025-10-15 08:02:07,172.16.5.25,192.168.1.60,44504,80,TCP,123,0,95,SYN
2025-10-15 08:02:08,192.168.1.105,203.0.113.67,44579,80,TCP,890,4567,380,PSH-ACK
2025-10-15 08:02:09,172.16.5.25,192.168.1.60,44505,443,TCP,123,0,95,SYN
2025-10-15 08:02:10,172.16.5.25,192.168.1.60,44506,3306,TCP,123,0,95,SYN
2025-10-15 08:02:11,192.168.1.100,203.0.113.45,54332,443,TCP,1234,9876,440,PSH-ACK
2025-10-15 08:02:12,172.16.5.25,192.168.1.60,44507,3389,TCP,123,0,95,SYN
2025-10-15 08:02:13,172.16.5.25,192.168.1.60,44508,5432,TCP,123,0,95,SYN
2025-10-15 08:02:14,192.168.1.110,203.0.113.89,54402,443,TCP,1123,10567,450,PSH-ACK
2025-10-15 08:02:15,172.16.5.25,192.168.1.60,44509,8080,TCP,123,0,95,SYN
2025-10-15 08:02:16,172.16.5.25,192.168.1.60,44510,8443,TCP,123,0,95,SYN
2025-10-15 08:02:18,192.168.1.105,93.184.216.34,44580,80,TCP,567,3123,305,PSH-ACK
2025-10-15 08:02:20,192.168.1.200,45.33.32.156,60011,445,TCP,7890123,678,27000,PSH-ACK
2025-10-15 08:02:22,192.168.1.100,8.8.8.8,55127,53,UDP,76,118,49,None
2025-10-15 08:02:24,192.168.1.200,45.33.32.156,60012,445,TCP,8901234,789,30000,PSH-ACK
2025-10-15 08:02:26,192.168.1.110,203.0.113.89,54403,443,TCP,1567,11876,485,PSH-ACK
2025-10-15 08:02:28,192.168.1.200,45.33.32.156,60013,445,TCP,9012345,890,33000,PSH-ACK
2025-10-15 08:02:30,192.168.1.105,203.0.113.67,44581,80,TCP,789,4321,375,PSH-ACK
2025-10-15 08:02:32,192.168.1.200,45.33.32.156,60014,445,TCP,2123456,234,11000,PSH-ACK
2025-10-15 08:02:34,192.168.1.100,203.0.113.45,54333,443,TCP,1456,10234,465,PSH-ACK
2025-10-15 08:02:36,203.0.113.150,192.168.1.70,15600,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:37,203.0.113.150,192.168.1.70,15601,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:38,203.0.113.150,192.168.1.70,15602,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:39,203.0.113.150,192.168.1.70,15603,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:40,203.0.113.150,192.168.1.70,15604,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:41,203.0.113.150,192.168.1.70,15605,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:42,203.0.113.150,192.168.1.70,15606,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:43,203.0.113.150,192.168.1.70,15607,80,TCP,267,678,130,PSH-ACK
2025-10-15 08:02:44,192.168.1.110,93.184.216.34,54404,80,TCP,678,3987,340,PSH-ACK
2025-10-15 08:02:46,192.168.1.105,203.0.113.67,44582,80,TCP,890,4876,395,PSH-ACK
2025-10-15 08:02:48,10.0.10.88,192.168.1.80,50100,22,TCP,167,0,105,SYN
2025-10-15 08:02:49,10.0.10.88,192.168.1.80,50101,22,TCP,167,0,105,SYN
2025-10-15 08:02:50,192.168.1.100,203.0.113.45,54334,443,TCP,1345,9876,455,PSH-ACK
2025-10-15 08:02:51,10.0.10.88,192.168.1.80,50102,22,TCP,167,0,105,SYN
2025-10-15 08:02:52,10.0.10.88,192.168.1.80,50103,22,TCP,167,0,105,SYN
2025-10-15 08:02:53,192.168.1.110,203.0.113.89,54405,443,TCP,1234,10123,460,PSH-ACK
2025-10-15 08:02:54,10.0.10.88,192.168.1.80,50104,22,TCP,167,0,105,SYN
2025-10-15 08:02:55,10.0.10.88,192.168.1.80,50105,22,TCP,167,0,105,SYN
2025-10-15 08:02:56,192.168.1.105,93.184.216.34,44583,80,TCP,567,3234,310,PSH-ACK
2025-10-15 08:02:57,10.0.10.88,192.168.1.80,50106,22,TCP,167,0,105,SYN
2025-10-15 08:02:58,10.0.10.88,192.168.1.80,50107,22,TCP,167,0,105,SYN
2025-10-15 08:03:00,192.168.1.100,8.8.8.8,55128,53,UDP,77,120,50,None
2025-10-15 08:03:02,192.168.1.110,203.0.113.89,54406,443,TCP,1567,11456,480,PSH-ACK
2025-10-15 08:03:04,192.168.1.105,203.0.113.67,44584,80,TCP,789,4234,365,PSH-ACK
2025-10-15 08:03:06,192.168.1.200,192.168.1.10,60015,80,TCP,567,3123,290,PSH-ACK
2025-10-15 08:03:08,192.168.1.100,203.0.113.45,54335,443,TCP,1456,10567,470,PSH-ACK
2025-10-15 08:03:10,192.168.1.110,93.184.216.34,54407,80,TCP,678,3876,345,PSH-ACK
2025-10-15 08:03:12,192.168.1.105,203.0.113.67,44585,80,TCP,890,4567,385,PSH-ACK
2025-10-15 08:03:14,192.168.1.100,203.0.113.45,54336,443,TCP,1234,9234,445,PSH-ACK
2025-10-15 08:03:16,192.168.1.110,203.0.113.89,54408,443,TCP,1345,10876,465,PSH-ACK
2025-10-15 08:03:18,192.168.1.105,93.184.216.34,44586,80,TCP,567,3123,305,PSH-ACK
2025-10-15 08:03:20,192.168.1.200,192.168.1.10,60016,80,TCP,678,3456,325,PSH-ACK
2025-10-15 08:03:22,192.168.1.100,8.8.8.8,55129,53,UDP,78,121,51,None
2025-10-15 08:03:24,192.168.1.110,203.0.113.89,54409,443,TCP,1456,11234,475,PSH-ACK
2025-10-15 08:03:26,192.168.1.105,203.0.113.67,44587,80,TCP,789,4321,370,PSH-ACK
2025-10-15 08:03:28,192.168.1.100,203.0.113.45,54337,443,TCP,1567,11876,490,PSH-ACK
2025-10-15 08:03:30,192.168.1.110,93.184.216.34,54410,80,TCP,678,3987,350,PSH-ACK
2025-10-15 08:03:32,192.168.1.105,203.0.113.67,44588,80,TCP,890,4876,390,PSH-ACK
2025-10-15 08:03:34,192.168.1.100,203.0.113.45,54338,443,TCP,1234,9567,450,PSH-ACK
2025-10-15 08:03:36,192.168.1.110,203.0.113.89,54411,443,TCP,1345,10234,470,PSH-ACK
2025-10-15 08:03:38,192.168.1.105,93.184.216.34,44589,80,TCP,567,3234,315,PSH-ACK
2025-10-15 08:03:40,192.168.1.100,8.8.8.8,55130,53,UDP,79,124,52,None
2025-10-15 08:03:42,192.168.1.110,93.184.216.34,54412,80,TCP,789,4123,355,PSH-ACK
2025-10-15 08:03:44,192.168.1.105,203.0.113.67,44590,80,TCP,678,3987,345,PSH-ACK
2025-10-15 08:03:46,192.168.1.100,203.0.113.45,54339,443,TCP,1456,10876,485,PSH-ACK
2025-10-15 08:03:48,192.168.1.110,203.0.113.89,54413,443,TCP,1567,11456,495,PSH-ACK
