wmi,manufacturer,country,region,vehicle_type
LFM,FAW,China,Asia,Passenger Car
LFP,FAW,China,Asia,Passenger Car
LFV,FAW,China,Asia,Passenger Car
LGB,Dongfeng,China,Asia,Passenger Car
LGW,Great Wall,China,Asia,Multipurpose Vehicle
LGX,BYD,China,Asia,Passenger Car
LHG,Honda,China,Asia,Passenger Car
LHM,Honda,China,Asia,Multipurpose Vehicle
LJ1,JAC,China,Asia,Passenger Car
LKL,Suzhou King Long,China,Asia,Bus
LLV,Lifan,China,Asia,Passenger Car
LMG,GAC,China,Asia,Passenger Car
LMU,Maxus,China,Asia,Multipurpose Vehicle
LNA,Changan,China,Asia,Passenger Car
LNB,BAIC,China,Asia,Passenger Car
LPA,Changan,China,Asia,Passenger Car
LPE,Chery,China,Asia,Passenger Car
LS5,Changan,China,Asia,Passenger Car
LSG,SAIC,China,Asia,Passenger Car
LSJ,SAIC,China,Asia,Passenger Car
LSV,SAIC,China,Asia,Passenger Car
LSY,SAIC,China,Asia,Passenger Car
LTV,Toyota,China,Asia,Passenger Car
LVG,GAC,China,Asia,Passenger Car
LVH,Dongfeng,China,Asia,Passenger Car
LVR,Changan,China,Asia,Multipurpose Vehicle
LVS,Changan,China,Asia,Passenger Car
LVV,Chery,China,Asia,Multipurpose Vehicle
LVY,Chery,China,Asia,Multipurpose Vehicle
LWV,GAC,China,Asia,Passenger Car
LYV,Volvo,China,Asia,Passenger Car
LZE,Isuzu,China,Asia,Truck
LZG,SAIC,China,Asia,Multipurpose Vehicle
LZM,MAN,China,Asia,Truck
LZW,SAIC,China,Asia,Multipurpose Vehicle
LZY,Yutong,China,Asia,Bus
LZZ,Geely,China,Asia,Passenger Car
MA1,Mahindra,India,Asia,Multipurpose Vehicle
MA3,Maruti Suzuki,India,Asia,Passenger Car
MAJ,Ford,India,Asia,Passenger Car
MAL,Hyundai,India,Asia,Passenger Car
MAT,Tata,India,Asia,Passenger Car
MBH,Honda,India,Asia,Passenger Car
MBJ,Toyota,India,Asia,Passenger Car
MC2,Renault,India,Asia,Passenger Car
MCB,Fiat,India,Asia,Passenger Car
ME4,Nissan,India,Asia,Passenger Car
MHF,Honda,India,Asia,Multipurpose Vehicle
MHR,Honda,India,Asia,Passenger Car
ML0,Mahindra,India,Asia,Multipurpose Vehicle
MLA,Mahindra,India,Asia,Multipurpose Vehicle
MMB,Mitsubishi,India,Asia,Passenger Car
MMC,Mazda,India,Asia,Passenger Car
MMM,Chevrolet,India,Asia,Passenger Car
MMT,Mitsubishi,India,Asia,Passenger Car
MNB,Ford,India,Asia,Passenger Car
MNT,Nissan,India,Asia,Multipurpose Vehicle
MPA,Isuzu,India,Asia,Truck
NLE,Mercedes-Benz,Turkey,Europe,Multipurpose Vehicle
NM0,Ford,Turkey,Europe,Passenger Car
NM4,Fiat,Turkey,Europe,Multipurpose Vehicle
NMT,Toyota,Turkey,Europe,Multipurpose Vehicle
PE1,Mazda,Philippines,Asia,Passenger Car
PE3,Mazda,Philippines,Asia,Multipurpose Vehicle
PL1,Proton,Malaysia,Asia,Passenger Car
SAJ,Jaguar,United Kingdom,Europe,Passenger Car
SAL,Land Rover,United Kingdom,Europe,Multipurpose Vehicle
SAR,Rover,United Kingdom,Europe,Passenger Car
SAX,Jaguar,United Kingdom,Europe,Multipurpose Vehicle
SB1,Toyota,United Kingdom,Europe,Passenger Car
SCC,Lotus,United Kingdom,Europe,Passenger Car
SCE,DeLorean,United Kingdom,Europe,Passenger Car
SCF,Aston Martin,United Kingdom,Europe,Passenger Car
SDB,Peugeot,United Kingdom,Europe,Multipurpose Vehicle
SFD,Alexander Dennis,United Kingdom,Europe,Bus
SHH,Honda,United Kingdom,Europe,Passenger Car
SHS,Honda,United Kingdom,Europe,Multipurpose Vehicle
SJN,Nissan,United Kingdom,Europe,Passenger Car
TMB,Skoda,Czech Republic,Europe,Passenger Car
TMK,Skoda,Czech Republic,Europe,Multipurpose Vehicle
TMP,Skoda,Czech Republic,Europe,Passenger Car
TMT,Skoda,Czech Republic,Europe,Multipurpose Vehicle
TN9,Tatra,Czech Republic,Europe,Truck
TRA,Ikarus,Hungary,Europe,Bus
TRU,Audi,Hungary,Europe,Multipurpose Vehicle
TSE,Ikarus,Hungary,Europe,Bus
TSM,Suzuki,Hungary,Europe,Passenger Car
U5Y,Kia,Slovakia,Europe,Passenger Car
UU1,Renault,Romania,Europe,Passenger Car
UU3,Dacia,Romania,Romania,Multipurpose Vehicle
UU6,Dacia,Romania,Romania,Passenger Car
VA0,AvtoVAZ,Russia,Europe,Passenger Car
VF1,Renault,France,Europe,Passenger Car
VF2,Renault,France,Europe,Passenger Car
VF3,Peugeot,France,Europe,Passenger Car
VF4,Talbot,France,Europe,Passenger Car
VF6,Renault,France,Europe,Multipurpose Vehicle
VF7,Citroën,France,Europe,Passenger Car
VF8,Matra,France,Europe,Passenger Car
VF9,Bugatti,France,Europe,Passenger Car
VFA,Alpine,France,Europe,Passenger Car
VFE,Iveco,France,Europe,Bus
VNK,Toyota,France,Europe,Passenger Car
VSE,Suzuki,Spain,Europe,Passenger Car
VSK,Nissan,Spain,Europe,Multipurpose Vehicle
VSS,SEAT,Spain,Europe,Passenger Car
VSX,Opel,Spain,Europe,Multipurpose Vehicle
VV9,SEAT,Spain,Europe,Passenger Car
VWV,Volkswagen,Spain,Europe,Multipurpose Vehicle
VX1,Zastava,Serbia,Europe,Passenger Car
W0L,Opel,Germany,Europe,Passenger Car
W0S,Opel,Germany,Europe,Multipurpose Vehicle
W0V,Opel,Germany,Europe,Multipurpose Vehicle
WAG,Audi,Germany,Europe,Multipurpose Vehicle
WAU,Audi,Germany,Europe,Passenger Car
WBA,BMW,Germany,Europe,Passenger Car
WBS,BMW,Germany,Europe,Passenger Car
WBX,BMW,Germany,Europe,Multipurpose Vehicle
WDB,Mercedes-Benz,Germany,Europe,Passenger Car
WDC,DaimlerChrysler,Germany,Europe,Passenger Car
WDD,Mercedes-Benz,Germany,Europe,Passenger Car
WDF,Mercedes-Benz,Germany,Europe,Truck
WEB,Evobus,Germany,Europe,Bus
WF0,Ford,Germany,Europe,Passenger Car
WJM,Iveco,Germany,Europe,Truck
WJR,Irmscher,Germany,Europe,Passenger Car
WMA,MAN,Germany,Europe,Truck
WME,Smart,Germany,Europe,Passenger Car
WMW,Mini,Germany,Europe,Passenger Car
WMX,Mercedes-AMG,Germany,Europe,Passenger Car
WP0,Porsche,Germany,Europe,Passenger Car
WP1,Porsche,Germany,Europe,Passenger Car
WUA,Audi,Germany,Europe,Multipurpose Vehicle
WVG,Volkswagen,Germany,Europe,Multipurpose Vehicle
WVW,Volkswagen,Germany,Europe,Passenger Car
WV1,Volkswagen,Germany,Europe,Truck
WV2,Volkswagen,Germany,Europe,Bus
WV3,Volkswagen,Germany,Europe,Multipurpose Vehicle
XLR,DAF,Netherlands,Europe,Truck
XMC,Mitsubishi,Netherlands,Europe,Passenger Car
XTA,Lada,Russia,Europe,Passenger Car
XTC,KamAZ,Russia,Europe,Truck
XTT,Lada,Russia,Europe,Passenger Car
XUF,GAZ,Russia,Europe,Truck
XUU,UAZ,Russia,Europe,Multipurpose Vehicle
XW8,Lada,Russia,Europe,Passenger Car
XXX,Lada,Russia,Europe,Passenger Car
YK1,Saab,Finland,Europe,Passenger Car
YS2,Scania,Sweden,Europe,Truck
YS3,Saab,Sweden,Europe,Passenger Car
YS4,Scania,Sweden,Europe,Bus
YT9,Koenigsegg,Sweden,Europe,Passenger Car
YV1,Volvo,Sweden,Europe,Passenger Car
YV2,Volvo,Sweden,Europe,Truck
YV3,Volvo,Sweden,Europe,Bus
YV4,Volvo,Sweden,Europe,Multipurpose Vehicle
ZA9,Lamborghini,Italy,Europe,Passenger Car
ZAM,Maserati,Italy,Europe,Passenger Car
ZAP,Piaggio,Italy,Europe,Multipurpose Vehicle
ZAR,Alfa Romeo,Italy,Europe,Passenger Car
ZCF,Ferrari,Italy,Europe,Passenger Car
ZDF,Ferrari,Italy,Europe,Passenger Car
ZFA,Fiat,Italy,Europe,Passenger Car
ZFC,Fiat,Italy,Europe,Passenger Car
ZFF,Ferrari,Italy,Europe,Passenger Car
ZGA,Iveco,Italy,Europe,Truck
ZHW,Lamborghini,Italy,Europe,Passenger Car
ZLA,Lancia,Italy,Europe,Passenger Car
