sku,min_price,max_price
ABC-651810-C,12.96,24.3
IJ-971733-UV,172.66,323.74
OP-907604-T,200.16,375.3
KL-925231-X,177.94,333.64
AB-189073-C,149.98,281.21
UV-821391-UV,357.5,670.31
ABC-842204-B,188.22,352.91
OP-280766-T,67.97,127.45
GH-402124-ST,77.05,144.46
CD-901300-Y,212.52,398.48
OP-210267-ST,262.98,493.09
DEF-367643-V,249.44,467.7
OP-234752-R,368.49,690.92
MN-418821-W,311.66,584.36
QR-907339-S,190.23,356.68
QR-369203-B,331.69,621.91
YZ-713526-ST,240.25,450.47
UV-985861-R,134.34,251.89
GH-920641-V,104.23,195.44
KL-609792-V,374.37,701.95
CD-114668-A,117.34,220.01
ABC-363479-C,184.71,346.34
UV-458592-A,302.19,566.6
GH-404906-UV,231.38,433.84
MN-268095-R,269.93,506.12
ABC-002773-Z,139.87,262.25
MN-382913-X,201.77,378.32
EF-995967-B,135.41,253.89
UV-654425-W,199.12,373.35
GH-755717-UV,147.09,275.8
ST-532756-V,109.27,204.89
ABC-343027-X,117.63,220.55
ST-582343-T,241.69,453.17
MN-441869-B,353.0,661.88
YZ-711219-C,225.87,423.51
KL-646414-A,210.52,394.72
ST-426800-Z,82.89,155.43
AB-319635-V,102.61,192.4
MN-451770-RS,167.32,313.72
UV-488575-Y,225.63,423.05
DEF-709446-U,102.21,191.64
GHI-833291-UV,194.63,364.93
KL-691855-S,287.04,538.2
