transaction_id,user_id,country,amount,currency,date,status
TX0071,u1073,United States,"$1,000.00",USD,2024-07-01,Completed
TX0072,u1074,United Kingdom,"£800.00",GBP,2024-07-02,Failed
TX0073,u1075,Germany,"€900.00",EUR,2024-07-03,completed
TX0074,u1076,France,"1.800,25",EUR,2024-07-04,Pending
TX0075,u1077,Italy,"€1,200.00",EUR,2024-07-05,Completed
TX0076,u1078,Spain,"2.345,67",EUR,2024-07-06,Failed
TX0077,u1079,Portugal,"€500.00",EUR,2024-07-07,completed
TX0078,u1080,Netherlands,"1.500,00",EUR,2024-07-08,Pending
TX0079,u1081,Belgium,"€700.00",EUR,2024-07-09,Completed
TX0080,u1082,Austria,"€450.00",EUR,2024-07-10,Failed
TX0081,u1083,Japan,"¥200,000",JPY,2024-07-11,completed
TX0082,u1084,India,"₹75,000.00",INR,2024-07-12,Pending
TX0083,u1085,China,"¥90,000",JPY,2024-07-13,Completed
TX0084,u1086,South Korea,"₩1,500,000",KRW,2024-07-14,Failed
TX0085,u1087,United States,"$3,000.00",USD,2024-07-15,completed
TX0086,u1088,Canada,"CAD 3,500.00",CAD,2024-07-16,Pending
TX0087,u1089,Australia,"A$2,000.00",AUD,2024-07-17,Completed
TX0088,u1090,New Zealand,"NZ$1,400.00",NZD,2024-07-18,Failed
TX0089,u1091,Singapore,"S$4,500.00",SGD,2024-07-19,completed
TX0090,u1092,Malaysia,"RM 5,500.00",MYR,2024-07-20,Pending
TX0091,u1093,Thailand,"฿70,000",THB,2024-07-21,Completed
TX0092,u1094,Indonesia,"Rp 25,000,000",IDR,2024-07-22,Failed
TX0093,u1095,Philippines,"₱80,000",PHP,2024-07-23,completed
TX0094,u1096,Vietnam,"₫35,000,000",VND,2024-07-24,Pending
TX0095,u1097,Brazil,"R$ 3,500.00",BRL,2024-07-25,Completed
TX0096,u1098,Argentina,"ARS 55,000.00",ARS,2024-07-26,Failed
TX0097,u1099,Chile,"CLP 1,800,000",CLP,2024-07-27,completed
TX0098,u1100,Peru,"S/ 4,500.00",PEN,2024-07-28,Pending
TX0099,u1101,Colombia,"COP 6,000,000",COP,2024-07-29,Completed
TX0100,u1102,Mexico,"$1,800.00",USD,2024-07-30,Failed
TX0101,u1103,United States,"$1,200.00",USD,2024-08-01,completed
TX0102,u1104,United Kingdom,"£900.00",GBP,2024-08-02,Pending
TX0103,u1105,Germany,"€1,000.00",EUR,2024-08-03,Completed
TX0104,u1106,France,"2.000,00",EUR,2024-08-04,Failed
TX0105,u1107,Italy,"€800.00",EUR,2024-08-05,completed
TX0106,u1108,Spain,"1.500,00",EUR,2024-08-06,Pending
TX0107,u1109,Portugal,"€600.00",EUR,2024-08-07,Completed
TX0108,u1110,Netherlands,"1.600,00",EUR,2024-08-08,Failed
TX0109,u1111,Belgium,"€800.00",EUR,2024-08-09,completed
TX0110,u1112,Austria,"€500.00",EUR,2024-08-10,Pending
TX0111,u1113,Japan,"¥250,000",JPY,2024-08-11,Completed
TX0112,u1114,India,"₹100,000.00",INR,2024-08-12,Failed
TX0113,u1115,China,"¥100,000",JPY,2024-08-13,completed
TX0114,u1116,South Korea,"₩2,000,000",KRW,2024-08-14,Pending
TX0115,u1117,United States,"$4,000.00",USD,2024-08-15,Completed
TX0116,u1118,Canada,"CAD 4,000.00",CAD,2024-08-16,Failed
TX0117,u1119,Australia,"A$2,500.00",AUD,2024-08-17,completed
TX0118,u1120,New Zealand,"NZ$1,600.00",NZD,2024-08-18,Pending
TX0119,u1121,Singapore,"S$5,000.00",SGD,2024-08-19,Completed
TX0120,u1122,Malaysia,"RM 6,000.00",MYR,2024-08-20,Failed
TX0121,u1123,Thailand,"฿80,000",THB,2024-08-21,completed
TX0122,u1124,Indonesia,"Rp 30,000,000",IDR,2024-08-22,Pending
TX0123,u1125,Philippines,"₱90,000",PHP,2024-08-23,Completed
TX0124,u1126,Vietnam,"₫40,000,000",VND,2024-08-24,Failed
TX0125,u1127,Brazil,"R$ 4,000.00",BRL,2024-08-25,completed
TX0126,u1128,Argentina,"ARS 60,000.00",ARS,2024-08-26,Pending
TX0127,u1129,Chile,"CLP 2,000,000",CLP,2024-08-27,Completed
TX0128,u1130,Peru,"S/ 5,000.00",PEN,2024-08-28,Failed
TX0129,u1131,Colombia,"COP 7,000,000",COP,2024-08-29,completed
TX0130,u1132,Mexico,"$2,000.00",USD,2024-08-30,Pending
TX0131,u1133,United States,"$1,500.00",USD,2024-09-01,Completed
TX0132,u1134,United Kingdom,"£1,000.00",GBP,2024-09-02,Failed
TX0133,u1135,Germany,"€1,100.00",EUR,2024-09-03,completed
TX0134,u1136,France,"2.100,00",EUR,2024-09-04,Pending
TX0135,u1137,Italy,"€900.00",EUR,2024-09-05,Completed
TX0136,u1138,Spain,"1.600,00",EUR,2024-09-06,Failed
TX0137,u1139,Portugal,"€700.00",EUR,2024-09-07,completed
TX0138,u1140,Netherlands,"1.700,00",EUR,2024-09-08,Pending
TX0139,u1141,Belgium,"€900.00",EUR,2024-09-09,Completed
TX0140,u1142,Austria,"€550.00",EUR,2024-09-10,Failed
TX0141,u1143,Japan,"¥300,000",JPY,2024-09-11,completed
TX0142,u1144,India,"₹120,000.00",INR,2024-09-12,Pending
TX0143,u1145,China,"¥110,000",JPY,2024-09-13,Completed
TX0144,u1146,South Korea,"₩2,500,000",KRW,2024-09-14,Failed
TX0145,u1147,United States,"$5,000.00",USD,2024-09-15,completed
TX0146,u1148,Canada,"CAD 4,500.00",CAD,2024-09-16,Pending
TX0147,u1149,Australia,"A$3,000.00",AUD,2024-09-17,Completed
TX0148,u1150,New Zealand,"NZ$1,800.00",NZD,2024-09-18,Failed
TX0149,u1151,Singapore,"S$5,500.00",SGD,2024-09-19,completed
TX0150,u1152,Malaysia,"RM 6,500.00",MYR,2024-09-20,Pending
TX0151,u1153,Thailand,"฿90,000",THB,2024-09-21,Completed
TX0152,u1154,Indonesia,"Rp 35,000,000",IDR,2024-09-22,Failed
TX0153,u1155,Philippines,"₱100,000",PHP,2024-09-23,completed
TX0154,u1156,Vietnam,"₫45,000,000",VND,2024-09-24,Pending
TX0155,u1157,Brazil,"R$ 4,500.00",BRL,2024-09-25,Completed
TX0156,u1158,Argentina,"ARS 65,000.00",ARS,2024-09-26,Failed
TX0157,u1159,Chile,"CLP 2,200,000",CLP,2024-09-27,completed
TX0158,u1160,Peru,"S/ 5,500.00",PEN,2024-09-28,Pending
TX0159,u1161,Colombia,"COP 8,000,000",COP,2024-09-29,Completed
TX0160,u1162,Mexico,"$2,200.00",USD,2024-09-30,Failed
TX0161,u1163,United States,"$1,600.00",USD,2024-10-01,completed
TX0162,u1164,United Kingdom,"£1,100.00",GBP,2024-10-02,Pending
TX0163,u1165,Germany,"€1,200.00",EUR,2024-10-03,Completed
TX0164,u1166,France,"2.200,00",EUR,2024-10-04,Failed
TX0165,u1167,Italy,"€1,000.00",EUR,2024-10-05,completed
TX0166,u1168,Spain,"1.700,00",EUR,2024-10-06,Pending
TX0167,u1169,Portugal,"€800.00",EUR,2024-10-07,Completed
TX0168,u1170,Netherlands,"1.800,00",EUR,2024-10-08,Failed
TX0169,u1171,Belgium,"€1,000.00",EUR,2024-10-09,completed
TX0170,u1172,Austria,"€600.00",EUR,2024-10-10,Pending
TX0171,u1173,Japan,"¥350,000",JPY,2024-10-11,Completed
TX0172,u1174,India,"₹150,000.00",INR,2024-10-12,Failed
TX0173,u1175,China,"¥120,000",JPY,2024-10-13,completed
TX0174,u1176,South Korea,"₩3,000,000",KRW,2024-10-14,Pending
TX0175,u1177,United States,"$6,000.00",USD,2024-10-15,Completed
TX0176,u1178,Canada,"CAD 5,000.00",CAD,2024-10-16,Failed
TX0177,u1179,Australia,"A$3,500.00",AUD,2024-10-17,completed
TX0178,u1180,New Zealand,"NZ$2,000.00",NZD,2024-10-18,Pending
TX0179,u1181,Singapore,"S$6,000.00",SGD,2024-10-19,Completed
TX0180,u1182,Malaysia,"RM 7,000.00",MYR,2024-10-20,Failed
TX0181,u1183,Thailand,"฿100,000",THB,2024-10-21,completed
TX0182,u1184,Indonesia,"Rp 40,000,000",IDR,2024-10-22,Pending
TX0183,u1185,Philippines,"₱110,000",PHP,2024-10-23,Completed
TX0184,u1186,Vietnam,"₫50,000,000",VND,2024-10-24,Failed
TX0185,u1187,Brazil,"R$ 5,000.00",BRL,2024-10-25,completed
TX0186,u1188,Argentina,"ARS 70,000.00",ARS,2024-10-26,Pending
TX0187,u1189,Chile,"CLP 2,400,000",CLP,2024-10-27,Completed
TX0188,u1190,Peru,"S/ 6,000.00",PEN,2024-10-28,Failed
TX0189,u1191,Colombia,"COP 9,000,000",COP,2024-10-29,completed
TX0190,u1192,Mexico,"$2,400.00",USD,2024-10-30,Pending
TX0191,u1193,United States,"$1,700.00",USD,2024-11-01,Completed
TX0192,u1194,United Kingdom,"£1,200.00",GBP,2024-11-02,Failed
TX0193,u1195,Germany,"€1,300.00",EUR,2024-11-03,completed
TX0194,u1196,France,"2.300,00",EUR,2024-11-04,Pending
TX0195,u1197,Italy,"€1,100.00",EUR,2024-11-05,Completed
TX0196,u1198,Spain,"1.800,00",EUR,2024-11-06,Failed
TX0197,u1199,Portugal,"€900.00",EUR,2024-11-07,completed
TX0198,u1200,Netherlands,"1.900,00",EUR,2024-11-08,Pending
TX0199,u1201,Belgium,"€1,100.00",EUR,2024-11-09,Completed
TX0200,u1202,Austria,"€650.00",EUR,2024-11-10,Failed
TX0201,u1203,Japan,"¥400,000",JPY,2024-11-11,Completed
TX0202,u1204,India,"₹180,000.00",INR,2024-11-12,Failed
TX0203,u1205,China,"¥130,000",JPY,2024-11-13,completed
TX0204,u1206,South Korea,"₩3,500,000",KRW,2024-11-14,Pending
TX0205,u1207,United States,"$7,000.00",USD,2024-11-15,Completed
TX0206,u1208,Canada,"CAD 5,500.00",CAD,2024-11-16,Failed
TX0207,u1209,Australia,"A$4,000.00",AUD,2024-11-17,completed
TX0208,u1210,New Zealand,"NZ$2,200.00",NZD,2024-11-18,Pending
TX0209,u1211,Singapore,"S$6,500.00",SGD,2024-11-19,Completed
TX0210,u1212,Malaysia,"RM 7,500.00",MYR,2024-11-20,Failed
TX0211,u1213,Thailand,"฿110,000",THB,2024-11-21,completed
TX0212,u1214,Indonesia,"Rp 45,000,000",IDR,2024-11-22,Pending
TX0213,u1215,Philippines,"₱120,000",PHP,2024-11-23,Completed
TX0214,u1216,Vietnam,"₫55,000,000",VND,2024-11-24,Failed
TX0215,u1217,Brazil,"R$ 5,500.00",BRL,2024-11-25,completed
TX0216,u1218,Argentina,"ARS 75,000.00",ARS,2024-11-26,Pending
TX0217,u1219,Chile,"CLP 2,600,000",CLP,2024-11-27,Completed
TX0218,u1220,Peru,"S/ 6,500.00",PEN,2024-11-28,Failed
TX0219,u1221,Colombia,"COP 10,000,000",COP,2024-11-29,completed
TX0220,u1222,Mexico,"$2,600.00",USD,2024-11-30,Pending
TX0221,u1223,United States,"$1,800.00",USD,2024-12-01,Completed
TX0222,u1224,United Kingdom,"£1,300.00",GBP,2024-12-02,Failed
TX0223,u1225,Germany,"€1,400.00",EUR,2024-12-03,completed
TX0224,u1226,France,"2.400,00",EUR,2024-12-04,Pending
TX0225,u1227,Italy,"€1,200.00",EUR,2024-12-05,Completed
TX0226,u1228,Spain,"1.900,00",EUR,2024-12-06,Failed
TX0227,u1229,Portugal,"€1,000.00",EUR,2024-12-07,completed
TX0228,u1230,Netherlands,"2.000,00",EUR,2024-12-08,Pending
TX0229,u1231,Belgium,"€1,200.00",EUR,2024-12-09,Completed
TX0230,u1232,Austria,"€700.00",EUR,2024-12-10,Failed
TX0231,u1233,Japan,"¥450,000",JPY,2024-12-11,completed
TX0232,u1234,India,"₹200,000.00",INR,2024-12-12,Pending
TX0233,u1235,China,"¥140,000",JPY,2024-12-13,Completed
TX0234,u1236,South Korea,"₩4,000,000",KRW,2024-12-14,Failed
TX0235,u1237,United States,"$8,000.00",USD,2024-12-15,completed
TX0236,u1238,Canada,"CAD 6,000.00",CAD,2024-12-16,Pending
TX0237,u1239,Australia,"A$4,500.00",AUD,2024-12-17,Completed
TX0238,u1240,New Zealand,"NZ$2,400.00",NZD,2024-12-18,Failed
TX0239,u1241,Singapore,"S$7,000.00",SGD,2024-12-19,completed
TX0240,u1242,Malaysia,"RM 8,000.00",MYR,2024-12-20,Pending
TX0241,u1243,Thailand,"฿120,000",THB,2024-12-21,Completed
TX0242,u1244,Indonesia,"Rp 50,000,000",IDR,2024-12-22,Failed
TX0243,u1245,Philippines,"₱130,000",PHP,2024-12-23,completed
TX0244,u1246,Vietnam,"₫60,000,000",VND,2024-12-24,Pending
TX0245,u1247,Brazil,"R$ 6,000.00",BRL,2024-12-25,Completed
TX0246,u1248,Argentina,"ARS 80,000.00",ARS,2024-12-26,Failed
TX0247,u1249,Chile,"CLP 2,800,000",CLP,2024-12-27,completed
TX0248,u1250,Peru,"S/ 7,000.00",PEN,2024-12-28,Pending
TX0249,u1251,Colombia,"COP 11,000,000",COP,2024-12-29,Completed
TX0250,u1252,Mexico,"$2,800.00",USD,2024-12-30,Failed
TX0251,u1253,United States,"$1,900.00",USD,2024-12-31,completed
TX0252,u1254,United Kingdom,"£1,400.00",GBP,2025-01-01,Pending
TX0253,u1255,Germany,"€1,500.00",EUR,2025-01-02,Completed
TX0254,u1256,France,"2.500,00",EUR,2025-01-03,Failed
TX0255,u1257,Italy,"€1,300.00",EUR,2025-01-04,completed
TX0256,u1258,Spain,"2.000,00",EUR,2025-01-05,Pending
TX0257,u1259,Portugal,"€1,100.00",EUR,2025-01-06,Completed
TX0258,u1260,Netherlands,"2.100,00",EUR,2025-01-07,Failed
TX0259,u1261,Belgium,"€1,300.00",EUR,2025-01-08,completed
TX0260,u1262,Austria,"€750.00",EUR,2025-01-09,Pending
TX0261,u1263,Japan,"¥500,000",JPY,2025-01-10,Completed
TX0262,u1264,India,"₹220,000.00",INR,2025-01-11,Failed
TX0263,u1265,China,"¥150,000",JPY,2025-01-12,completed
TX0264,u1266,South Korea,"₩4,500,000",KRW,2025-01-13,Pending
TX0265,u1267,United States,"$9,000.00",USD,2025-01-14,Completed
TX0266,u1268,Canada,"CAD 6,500.00",CAD,2025-01-15,Failed
TX0267,u1269,Australia,"A$5,000.00",AUD,2025-01-16,completed
TX0268,u1270,New Zealand,"NZ$2,600.00",NZD,2025-01-17,Pending
TX0269,u1271,Singapore,"S$7,500.00",SGD,2025-01-18,Completed
TX0270,u1272,Malaysia,"RM 8,500.00",MYR,2025-01-19,Failed
TX0271,u1273,Thailand,"฿130,000",THB,2025-01-20,completed
TX0272,u1274,Indonesia,"Rp 55,000,000",IDR,2025-01-21,Pending
TX0273,u1275,Philippines,"₱140,000",PHP,2025-01-22,Completed
TX0274,u1276,Vietnam,"₫65,000,000",VND,2025-01-23,Failed
TX0275,u1277,Brazil,"R$ 6,500.00",BRL,2025-01-24,completed
TX0276,u1278,Argentina,"ARS 85,000.00",ARS,2025-01-25,Pending
TX0277,u1279,Chile,"CLP 3,000,000",CLP,2025-01-26,Completed
TX0278,u1280,Peru,"S/ 7,500.00",PEN,2025-01-27,Failed
TX0279,u1281,Colombia,"COP 12,000,000",COP,2025-01-28,completed
TX0280,u1282,Mexico,"$3,000.00",USD,2025-01-29,Pending
TX0281,u1283,United States,"$2,000.00",USD,2025-01-30,Completed
TX0282,u1284,United Kingdom,"£1,500.00",GBP,2025-01-31,Failed
TX0283,u1285,Germany,"€1,600.00",EUR,2025-02-01,completed
TX0284,u1286,France,"2.600,00",EUR,2025-02-02,Pending
TX0285,u1287,Italy,"€1,400.00",EUR,2025-02-03,Completed
TX0286,u1288,Spain,"2.100,00",EUR,2025-02-04,Failed
TX0287,u1289,Portugal,"€1,200.00",EUR,2025-02-05,completed
TX0288,u1290,Netherlands,"2.200,00",EUR,2025-02-06,Pending
TX0289,u1291,Belgium,"€1,400.00",EUR,2025-02-07,Completed
TX0290,u1292,Austria,"€800.00",EUR,2025-02-08,Failed
TX0291,u1293,Japan,"¥550,000",JPY,2025-02-09,completed
TX0292,u1294,India,"₹240,000.00",INR,2025-02-10,Pending
TX0293,u1295,China,"¥160,000",JPY,2025-02-11,Completed
TX0294,u1296,South Korea,"₩5,000,000",KRW,2025-02-12,Failed
TX0295,u1297,United States,"$10,000.00",USD,2025-02-13,completed
TX0296,u1298,Canada,"CAD 7,000.00",CAD,2025-02-14,Pending
TX0297,u1299,Australia,"A$5,500.00",AUD,2025-02-15,Completed
TX0298,u1300,New Zealand,"NZ$2,800.00",NZD,2025-02-16,Failed
TX0299,u1301,Singapore,"S$8,000.00",SGD,2025-02-17,completed
TX0300,u1302,Malaysia,"RM 9,000.00",MYR,2025-02-18,Pending
TX0301,u1303,Thailand,"฿140,000",THB,2025-02-19,Completed
TX0302,u1304,Indonesia,"Rp 60,000,000",IDR,2025-02-20,Failed
TX0303,u1305,Philippines,"₱150,000",PHP,2025-02-21,completed
TX0304,u1306,Vietnam,"₫70,000,000",VND,2025-02-22,Pending
TX0305,u1307,Brazil,"R$ 7,000.00",BRL,2025-02-23,Completed
TX0306,u1308,Argentina,"ARS 90,000.00",ARS,2025-02-24,Failed
TX0307,u1309,Chile,"CLP 3,200,000",CLP,2025-02-25,completed
TX0308,u1310,Peru,"S/ 8,000.00",PEN,2025-02-26,Pending
TX0309,u1311,Colombia,"COP 13,000,000",COP,2025-02-27,Completed
TX0310,u1312,Mexico,"$3,200.00",USD,2025-02-28,Failed
TX0311,u1313,United States,"$2,100.00",USD,2025-03-01,completed
TX0312,u1314,United Kingdom,"£1,600.00",GBP,2025-03-02,Pending
TX0313,u1315,Germany,"€1,700.00",EUR,2025-03-03,Completed
TX0314,u1316,France,"2.700,00",EUR,2025-03-04,Failed
TX0315,u1317,Italy,"€1,500.00",EUR,2025-03-05,completed
TX0316,u1318,Spain,"2.200,00",EUR,2025-03-06,Pending
TX0317,u1319,Portugal,"€1,300.00",EUR,2025-03-07,Completed
TX0318,u1320,Netherlands,"2.300,00",EUR,2025-03-08,Failed
TX0319,u1321,Belgium,"€1,500.00",EUR,2025-03-09,completed
TX0320,u1322,Austria,"€850.00",EUR,2025-03-10,Pending
TX0321,u1323,Japan,"¥600,000",JPY,2025-03-11,Completed
TX0322,u1324,India,"₹260,000.00",INR,2025-03-12,Failed
TX0323,u1325,China,"¥170,000",JPY,2025-03-13,completed
TX0324,u1326,South Korea,"₩5,500,000",KRW,2025-03-14,Pending
TX0325,u1327,United States,"$11,000.00",USD,2025-03-15,Completed
TX0326,u1328,Canada,"CAD 7,500.00",CAD,2025-03-16,Failed
TX0327,u1329,Australia,"A$6,000.00",AUD,2025-03-17,completed
TX0328,u1330,New Zealand,"NZ$3,000.00",NZD,2025-03-18,Pending
TX0329,u1331,Singapore,"S$8,500.00",SGD,2025-03-19,Completed
TX0330,u1332,Malaysia,"RM 9,500.00",MYR,2025-03-20,Failed
TX0331,u1333,Thailand,"฿150,000",THB,2025-03-21,completed
TX0332,u1334,Indonesia,"Rp 65,000,000",IDR,2025-03-22,Pending
TX0333,u1335,Philippines,"₱160,000",PHP,2025-03-23,Completed
TX0334,u1336,Vietnam,"₫75,000,000",VND,2025-03-24,Failed
TX0335,u1337,Brazil,"R$ 7,500.00",BRL,2025-03-25,completed
TX0336,u1338,Argentina,"ARS 95,000.00",ARS,2025-03-26,Pending
TX0337,u1339,Chile,"CLP 3,400,000",CLP,2025-03-27,Completed
TX0338,u1340,Peru,"S/ 8,500.00",PEN,2025-03-28,Failed
TX0339,u1341,Colombia,"COP 14,000,000",COP,2025-03-29,completed
TX0340,u1342,Mexico,"$3,400.00",USD,2025-03-30,Pending
TX0341,u1343,United States,"$2,200.00",USD,2025-03-31,Completed
TX0342,u1344,United Kingdom,"£1,700.00",GBP,2025-04-01,Failed
TX0343,u1345,Germany,"€1,800.00",EUR,2025-04-02,completed
TX0344,u1346,France,"2.800,00",EUR,2025-04-03,Pending
TX0345,u1347,Italy,"€1,600.00",EUR,2025-04-04,Completed
TX0346,u1348,Spain,"2.300,00",EUR,2025-04-05,Failed
TX0347,u1349,Portugal,"€1,400.00",EUR,2025-04-06,completed
TX0348,u1350,Netherlands,"2.400,00",EUR,2025-04-07,Pending
TX0349,u1351,Belgium,"€1,600.00",EUR,2025-04-08,Completed
TX0350,u1352,Austria,"€900.00",EUR,2025-04-09,Failed
TX0351,u1353,Japan,"¥650,000",JPY,2025-04-10,completed
TX0352,u1354,India,"₹280,000.00",INR,2025-04-11,Pending
TX0353,u1355,China,"¥180,000",JPY,2025-04-12,Completed
TX0354,u1356,South Korea,"₩6,000,000",KRW,2025-04-13,Failed
TX0355,u1357,United States,"$12,000.00",USD,2025-04-14,completed
TX0356,u1358,Canada,"CAD 8,000.00",CAD,2025-04-15,Pending
TX0357,u1359,Australia,"A$6,500.00",AUD,2025-04-16,Completed
TX0358,u1360,New Zealand,"NZ$3,200.00",NZD,2025-04-17,Failed
TX0359,u1361,Singapore,"S$9,000.00",SGD,2025-04-18,completed
TX0360,u1362,Malaysia,"RM 10,000.00",MYR,2025-04-19,Pending
TX0361,u1363,Thailand,"฿160,000",THB,2025-04-20,Completed
TX0362,u1364,Indonesia,"Rp 70,000,000",IDR,2025-04-21,Failed
TX0363,u1365,Philippines,"₱170,000",PHP,2025-04-22,completed
TX0364,u1366,Vietnam,"₫80,000,000",VND,2025-04-23,Pending
TX0365,u1367,Brazil,"R$ 8,000.00",BRL,2025-04-24,Completed
TX0366,u1368,Argentina,"ARS 100,000.00",ARS,2025-04-25,Failed
TX0367,u1369,Chile,"CLP 3,600,000",CLP,2025-04-26,completed
TX0368,u1370,Peru,"S/ 9,000.00",PEN,2025-04-27,Pending
TX0369,u1371,Colombia,"COP 15,000,000",COP,2025-04-28,Completed
TX0370,u1372,Mexico,"$3,600.00",USD,2025-04-29,Failed
TX0371,u1373,United States,"$2,300.00",USD,2025-04-30,completed
TX0372,u1374,United Kingdom,"£1,800.00",GBP,2025-05-01,Pending
TX0373,u1375,Germany,"€1,900.00",EUR,2025-05-02,Completed
TX0374,u1376,France,"2.900,00",EUR,2025-05-03,Failed
TX0375,u1377,Italy,"€1,700.00",EUR,2025-05-04,completed
TX0376,u1378,Spain,"2.400,00",EUR,2025-05-05,Pending
TX0377,u1379,Portugal,"€1,500.00",EUR,2025-05-06,Completed
TX0378,u1380,Netherlands,"2.500,00",EUR,2025-05-07,Failed
TX0379,u1381,Belgium,"€1,700.00",EUR,2025-05-08,completed
TX0380,u1382,Austria,"€950.00",EUR,2025-05-09,Pending
